numero,cultivar,especie,condicion_genetica,nombre_cientifico,grupo,inscripcion_rnc,inscripcion_rnpc,validez_rnpc,pais,caracteristicas,evento_transgenico,evento_transgenico_caracteristica,solicitante_rnc,representante_rnc,solicitante_rnpc,representante_rnpc
14072,ES DIAGORA,GIRASOL,HIBRIDO SIMPLE,Helianthus annuus L.,OL,2012-09-04,,,FRA,,,,LIMAGRAIN SOUTH AMERICA S.A.,SICILIANO RICARDO ROBERTO,,
14073,LG5649,GIRASOL,HIBRIDO SIMPLE,Helianthus annuus L.,OL,2012-05-13,,,FRA,,,,LIMAGRAIN SOUTH AMERICA S.A.,SICILIANO RICARDO ROBERTO,,
14074,ES SHERPA,GIRASOL,HIBRIDO SIMPLE,Helianthus annuus L.,OL,2012-09-04,,,FRA,,,,LIMAGRAIN SOUTH AMERICA S.A.,SICILIANO RICARDO ROBERTO,,
14075,ANTONIO UNLPAM,TRITICALE,VARIEDAD,×Triticosecale Wittmack,FO,2012-12-03,,,ARG,,,,ASOCIACION COOPERADORA DE LA FACULTAD DE AGRONOMIA DE LA UNIVERSIDAD DE LA PAMPA,FERRERO CARLOS JOSE,,
14076,BIOINTA 3008,TRIGO PAN,VARIEDADES,Triticum aestivum (L.) Emend. Fiori et P,CE,2013-04-19,2013-04-19,2033-04-19,ARG,,,,INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA,RAGONESE MARIA ELENA,INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA,RAGONESE MARIA ELENA
14078,GRANDEUR,FRAMBUESA,,Rubus idaeus L.,FR,2017-04-19,,,UN3,,,,"PLANT SCIENCES,INC",RICHELET RICARDO DANIEL,,
14079,PUNA II,ACHICORIA,,Cichorium intybus L.,HT,2015-09-29,,,NE2,,,,DLF ARGENTINA S.A.,OTEIZA AGUIRRE MARCOS,,
14080,RACER 2,RAIGRAS PERENNE CESPED,,Lolium perenne,FO,2012-11-02,,,UN3,,,,JOSE R.PICASSO S.A.,GUSTAVO PICASSO,,
14081,HAWKEYE 2,RAIGRAS PERENNE CESPED,,Lolium perenne,FO,2012-11-02,,,UN3,,,,JOSE R.PICASSO S.A.,GUSTAVO PICASSO,,
14082,FIESTA 4,RAIGRAS PERENNE CESPED,,Lolium perenne,FO,2012-11-02,,,UN3,,,,JOSE R.PICASSO S.A.,GUSTAVO PICASSO,,
14083,PENGUIN 2,RAIGRAS PERENNE CESPED,,Lolium perenne,FO,2012-11-02,,,UN3,,,,JOSE R.PICASSO S.A.,GUSTAVO PICASSO,,
14084,CALIPSO 3,RAIGRAS PERENNE CESPED,,Lolium perenne,FO,2012-11-02,,,UN3,,,,JOSE R.PICASSO S.A.,GUSTAVO PICASSO,,
14085,468MGRR2,MAIZ,HIBRIDO SIMPLE,Zea mays L.,CE,2012-09-13,,,ARG,TR,MON-ØØ6Ø3-6 x MON-ØØ81Ø-6,Tolerancia a Glifosato y Resistencia a Lepidópteros ,ASOCIACIÓN DE COOPERATIVAS ARGENTINAS COOPERATIVA LIMITADA,ACCASTELLO VICTOR,,
14086,AI7201MGRR2,MAIZ,HIBRIDO SIMPLE,Zea mays L.,CE,2012-09-13,,,ARG,TR,MON-ØØ6Ø3-6 x MON-ØØ81Ø-6,Tolerancia a Glifosato y Resistencia a Lepidópteros ,AGRO BAYER S.R.L.,ARANCEDO ALVAREZ MIGUEL,,
